state_id,.model,mean_crps
CA,snaivef,1010.0295199300526
CA,meanf,2903.0515857142855
CA,naivef,3906.593412218045
TX,snaivef,773.1110041215492
TX,meanf,1510.4465428571427
TX,naivef,1937.657848874662
WI,snaivef,1518.7545027580716
WI,naivef,1899.188825603613
WI,meanf,3389.9077214285717
